version,M,K,N,P,run,t_overall,t_work,t_io_in,t_io_out
pthreads,4096,4096,4096,4,1,20.608407,20.545500,0.062458,0.000062
pthreads,4096,4096,4096,4,2,17.592034,17.518944,0.072707,0.000048
pthreads,4096,4096,4096,4,3,14.946305,14.871807,0.074127,0.000049
pthreads,4096,4096,4096,8,1,14.794257,14.729927,0.063269,0.000040
pthreads,4096,4096,4096,8,2,10.364550,10.290735,0.072888,0.000050
pthreads,4096,4096,4096,8,3,12.483904,12.422037,0.060731,0.000048
pthreads,4096,4096,4096,16,1,13.953737,13.879978,0.071814,0.000091
pthreads,4096,4096,4096,16,2,9.988998,9.928369,0.057431,0.000048
pthreads,4096,4096,4096,16,3,9.325553,9.251079,0.072716,0.000053
pthreads,4096,4096,4096,32,1,9.565625,9.473646,0.084346,0.000031
pthreads,4096,4096,4096,32,2,19.170441,19.103037,0.062112,0.000028
pthreads,4096,4096,4096,32,3,10.946966,10.875346,0.065587,0.000046
pthreads,4096,4096,4096,64,1,9.216300,9.100309,0.085875,0.000071
pthreads,4096,4096,4096,64,2,6.396185,6.295523,0.070709,0.000045
pthreads,4096,4096,4096,64,3,7.319317,7.198567,0.086587,0.000064
pthreads,4096,4096,4096,128,1,4.883031,4.350603,0.058158,0.000074
pthreads,4096,4096,4096,128,2,4.940006,4.125988,0.072158,0.000063
pthreads,4096,4096,4096,128,3,4.522609,3.928021,0.089755,0.000056
openmp,4096,4096,4096,1,1,34.851476,34.784843,0.066512,0.000090
openmp,4096,4096,4096,1,2,34.845788,34.780082,0.065589,0.000086
openmp,4096,4096,4096,1,3,34.847719,34.782234,0.065367,0.000089
openmp,4096,4096,4096,2,1,17.628697,17.563282,0.065249,0.000136
openmp,4096,4096,4096,2,2,17.623605,17.558477,0.064963,0.000134
openmp,4096,4096,4096,2,3,17.628549,17.563344,0.065043,0.000133
openmp,4096,4096,4096,4,1,19.274535,19.208885,0.065481,0.000138
openmp,4096,4096,4096,4,2,19.296461,19.231408,0.064877,0.000143
openmp,4096,4096,4096,4,3,19.288491,19.223039,0.065287,0.000134
openmp,4096,4096,4096,8,1,10.209142,10.144045,0.064909,0.000155
openmp,4096,4096,4096,8,2,10.200272,10.133527,0.066556,0.000157
openmp,4096,4096,4096,8,3,10.206492,10.139897,0.066465,0.000102
openmp,4096,4096,4096,16,1,5.552297,5.485440,0.066661,0.000165
openmp,4096,4096,4096,16,2,5.503979,5.436696,0.067074,0.000176
openmp,4096,4096,4096,16,3,5.555448,5.488503,0.066759,0.000154
openmp,4096,4096,4096,32,1,3.807224,3.740106,0.066900,0.000183
openmp,4096,4096,4096,32,2,4.375241,4.306247,0.068764,0.000196
openmp,4096,4096,4096,32,3,4.009898,3.938249,0.071443,0.000174
openmp,4096,4096,4096,64,1,3.741154,3.668934,0.072022,0.000168
openmp,4096,4096,4096,64,2,3.872455,3.798512,0.073603,0.000311
openmp,4096,4096,4096,64,3,3.770108,3.698023,0.071716,0.000337
openmp,4096,4096,4096,128,1,3.618916,3.544435,0.074055,0.000396
openmp,4096,4096,4096,128,2,3.469084,3.386269,0.082429,0.000357
openmp,4096,4096,4096,128,3,3.898711,3.817565,0.080680,0.000436
